passage,cluster,replacements
" But there were three police officers who were charged , two with more serious charges and a third one with a manslaughter  	 charge 	  . DONNA KELLEY : Ray Seals was on ' Early Edition ' this morning on CNN and he talked about trying to keep the community calm and he said wait and let justice have its say . 
",2,"category, class, section, rated, under, type, in, grade, hepatitis, profile, article, triple, battery, level, a, weapon, group, cp, double, description"
" They require that people be closeted about their sexuality , you ca n't say you 're gay without going to a dis 	 charge 	  proceeding , and you certainly ca n't act as a , as a homosexual . MR-MINOTT : In the two years since the Clinton "" Do n't Ask , Do n't Tell "" policy has been in effect , seemingly little has changed . 
",2,"-, court, ##j, ', ##n, sexual, legal, ..., public, ##v, ., ##x, civil, jury, disciplinary, judicial, ,, ##q, medical, ##nal"
" There are some things -- my brother-in-law did not want my niece and nephews brought into the court pictures . He was willing to say that -- confess to a lesser  	 charge 	  in which he is in prison . We do support him but we more than ... RIVERA : Well , wait , wait , wait , wait , wait . 
",2,"crime, matter, offense, murder, offence, conspiracy, cause, felony, case, charges, conviction, sentence, order, trial, way, evil, sin, crimes, scheme"
" , do you think they would have been charged with rape or it would have gone in a different direction ? CRIER : At this point in time , you might have gotten a grand jury to  	 charge 	  them with rape , once you had the words out of their own mouths , particularly Deepak , that , in fact , she was -- she was -- I will say assaulted. 
",2,"', bar, a, grade, coe, drug, see, triple, plug, rope, accused, $, row, about, -, na, dose, proposition, point, la"
" ROBERT ANDERSON : There 's other things to consider when you make an apprehension . I mean , sure , this lady has a  	 charge 	  , but she 's still a person . You know , the kids are involved . We do n't want to put stress in their life . 
",2,"name, daughter, job, past, heart, career, point, family, husband, personality, reputation, voice, boyfriend, son, history, life, baby, child, character, kid"
" Let 's go ! WESTERVELT : Soon Iraqi fighters packed in the back of gun-mounted pick-up trucks began to  	 charge 	  the armored convoy as if on suicide runs . The .50-caliber machine guns on the US Bradleys and Abrams killed the majority of fighters . 
",2,"attack, approach, chase, assault, pursue, follow, raid, swarm, destroy, overrun, abandon, enter, infiltrate, bomb, sweep, cross, flee, escape, leave, ambush"
" At which point , we got out of the truck and it just kind of hovered there . DAVID-MUIR Staff Sergeant Bill Smith was in  	 charge 	  of security for 10 nuclear missiles . He saw something that night too . STAFF-SERGEANT-BIL# These objects would rise . 
",4,"need, command, control, chief, care, breach, head, front, search, position, violation, want, possession, touch, office, lieu, custody, terms, matters"
" We sample that now with George Gerbner , a professor and dean emeritus at the Annenberg School for Communications at the University of Pennsylvania in Philadelphia , and with Alfred Sikes , who was the chairman of the Federal Communications Commission during most of the Bush administration . He 's now president of new media at the Hurst Corporation , where he 's in  	 charge 	  of developing interactive television . Prof. Gerbner , how will this deal touch the fare that average people consume ? 
",4,"favor, command, forefront, control, direction, support, pursuit, need, chief, chair, oversight, hopes, development, honor, goal, responsibility, charged, charges, favour"
" BILL RITTER : ( voice-over ) Paul Neely 's murder trial was big news in Jefferson City . From the start , prosecutor Callahan had a difficult decision -- what would be the  	 charge 	  against Neely ? Callahan believed the jury might be sympathetic to Neely 's defense that he acted out of parental instinct . 
",2,"case, verdict, charges, defense, trial, evidence, defence, outcome, appeal, judgment, truth, prosecution, testimony, jury, point, hold, suit, action, witness"
"WILLIAMS : Alex , Speaker of the House Denny Hastert will be on "" Fox News Sunday , "" as will Senator Joe Biden , the Democrat who really leads the Democratic  	 charge 	  on the Intelligence Committee . In addition , Wesley Clark , the Democratic candidate for the Democratic nomination , will be on "" Face the Nation . 
",2,"group, delegation, majority, caucus, team, faction, party, side, minority, committee, opposition, campaign, slate, coalition, bloc, attack, wing, subcommittee, vote, movement"
"##163584 8:00-9:00 PM , This is the time of year when bills come due , and millions of people do n't have the money to pay . The Federal Reserve estimates that Americans owe $723 billion to credit cards and store  	 charge 	  accounts . Americans continue running up debts even as the economy slows down . And nobody has a better idea of what that means than the people who make a living trying to collect overdue bills . 
",2,"##front, deposit, credit, savings, card, -, ##ware, ##keeping, ##b, ##card, holding, checking, money, book, ##book, ##r, bank, department, ##holder, loan"
" He said fine , I ca n't treat you here , treat you at the hospital . I wo n't charge you anymore , but the hospital is going to  	 charge 	  you an additional cost . What 's the problem ? FELDBLUM : Well , and the hospital was three hours away and he did n't have privileges at the hospital . 
",1,"treat, see, help, know, need, pay, treated, bother, use, treating, call, like, have, take, hurt, want, ask, visit, serve, treatment"
" The same highly qualified individuals that have been running it successfully for years will continue to do so . ANGLE : So the same guys who are in  	 charge 	  now ... MOORE : Absolutely . ANGLE : ... under P&amp;O will be in charge under D.P. World . It 's just that the ownership will be different ? 
",0,"it, business, office, control, there, place, this, production, operation, power, service, management, washington, here, trouble, houston, america, administration, court"
" I want to thank the chairman of the Finance Committee , because I have importuned him several times on this . The leader , the President , in the Congressional Record , and in writing , the sur 	 charge 	  was removed and targeted capital gains were introduced in the Conference Committee . Another thing very important research and development tax credits . 
",2,"##rogate, ##pass, ##ment, ##ging, ##balance, ##mise, ##a, ##c, ##atory, ##ments, ##charged, ##g, ##ma, ##us, ##f, ##p, ##o, ##ction, ##bit, ##v"
" It certainly relates directly to the notion that no effort was made to force the plane down . It certainly relates to the  	 charge 	  that no effort was made to communicate with the aircraft in such a way that the plane could have been forced down . 
",3,"notion, idea, fact, concept, belief, view, observation, assertion, suggestion, theory, proposition, claim, assumption, thought, possibility, sense, conception, conclusion, knowledge, perception"
"Gov-WHITMAN : Gabe , this is a man who has been with the FBI for 20-some-odd years , who was left in  	 charge 	  of that investigation , who was then given charge of the investigation of the TWA crash subsequent to the World Trade Center bombing , who was promoted by the FBI after the World Trade Center bombing . 
",4,"control, command, front, possession, pursuit, favor, part, oversight, lead, need, ignorance, advance, head, middle, chief, knowledge, support, service, most"
" He 's going after Sheriff Joe Arpaio in Arizona for racial profiling but will not tell Congress what the Justice Department knows about the federal gun scandal dubbed Fast and Furious . Also , reports are the FBI may  	 charge 	  George Zimmerman with a hate crime for killing Trayvon Martin . But when "" The Factor "" called the attorney general last week , asking if he would investigate bias crime allegations in Norfolk , Virginia , the mob violence case we reported on earlier , the Justice Department refused to get back to us . 
",2,"associate, charged, threaten, frame, credit, connect, charging, link, charges, suspect, accuse, arrest, ring, assault, identify, attack, punish, provide, serve"
" And those reached a record 95 Fahrenheit in London this week , 98 in Geneva and 104 in Paris . In Athens , taxi drivers have the gall to  	 charge 	  an extra $2 a ride to switch on the air conditioning . And in fact air conditioning is more of a rarity in Europe than in the US because of the very high -- the energy costs a lot here . 
",1,"pay, take, get, need, buy, spend, make, have, earn, use, cost, demand, require, give, hire, purchase, offer, request, save"
" Let 's do a little drawing so even I can understand it . OK . The guy brings in the explosives . The customs agent find the explosives . They  	 charge 	  the guy with a variety of terrorist acts . He admitted he wanted to blowup LAX , OK ? So they got him . 
",2,"charged, arrest, arrested, charges, suspect, caught, threaten, tried, frame, catch, wanted, want, hit, suspected, accuse, charging, associate, accused, threatened"
" MARTHA COAKLEY : Well , do I think that 's true that he thought that ? It 's ironic that this over  	 charge 	  issue has come up because this case was brought before the grand jury and charged the way we always charge cases involving these kind of severe injuries to a child . 
",2,"##riding, ##load, -, ##t, ##lord, ##hand, ##turn, the, ##lay, ##due, ##ride, ##used, ##tone, ##mind, there, ##use, ##work, ##ending, ##kill, ##tly"
" Back in 1989 , Adarand lost out to a Hispanic owned firm even though Adarand 's bid for a highway contract was lower . In a high court brief , the Bush administration narrowly defends the program . Conservatives  	 charge 	  betrayal . LINDA CHAVEZ , CENTER FOR EQUAL OPPORTUNITY : That is not what affirmative action was supposed to be about . 
",3,":, claim, of, face, ', see, and, for, in, advocate, fear, blame, hate, deny, against, view, represent, ,, argue, ."
" I really do think -- and I do n't want to be naive here , but I do think that the dynamics are such that the -- because the tea party is basically in  	 charge 	  of the Republican Party , that 's actually more of an opportunity for the president than people think . 
",4,"favor, control, front, place, favour, support, shadow, opposition, excess, default, one, imitation, competition, terms, pursuit, defiance, fear, preference, possession"
" KORN : So if one gets impatient , having gone through this exact same process repeatedly , if that impatience comes across as a bit of arrogance , then I suppose that 's unfortunate , but maybe understandable RUTZ voice-over Alternative therapists like Kurt Donsbach  	 charge 	  the government with protecting a lucrative monopoly in standard cancer treatments , even though surgery , radiation and chemotherapy often fail . 
",2,"charged, credit, help, threaten, assist, charging, provide, tasked, approach, credited, bribe, entrusted, credits, ##trust, task, helping, serve, aid, threatened"
" You know , the -- the wrap , of course , against Phil Gramm is that he 's basically been hiding his very talented , articulate , smart wife every time he 's run for election because Americans might not respond to her because she 's an Asian-American ? Mr-BARNES : Oh , I do n't think that 's a fair  	 charge 	  at all . Come on , he had her when he spoke at the Conservative Political Action Conference a week ago . 
",3,"question, comparison, description, assessment, accusation, term, thing, statement, answer, assumption, argument, analogy, characterization, point, story, bet, word, conclusion, explanation, comment"
" First , we have to develop a board . Then the board is going to have a financial committee , a fund-raising committee that will be in  	 charge 	  of the fund-raising . And we have promised that we will work with the Charities Bureau , that we will adhere to the highest and the strictest guidelines set forth by the Treasury Department , because there is so much angst about this . 
",4,"control, support, oversight, command, supervision, care, coordination, aid, direction, advance, place, favor, management, responsibility, conduct, all, front, handling, part"
" You 're talking about , basically , the astronaut crew not being able to make it back home . O'BRIEN : Martin Wilson is the man in  	 charge 	  at the Thermal Protection System Facility . Here they mix , bake , mill , and coat about 1,000 tiles a year to keep the shuttle fleet flying . 
",0,"command, residence, chief, control, right, development, black, training, white, office, need, power, blue, question, production, mind, work, contact, attendance"
"Mr-WHEATON : That means he would 've had held -- had to have held the shotgun at an angle of such distorted proportions that it would have been almost physically impossible for him to dis 	 charge 	  the shotgun . GOLDBERG : But if it was n't suicide , there could only be one possibility : murder . 
",1,"##nare, ##jure, ##load, -, ##ject, ', ##lock, ##jured, lower, ##vent, ##na, reach, ##nee, ##sable, take, get, park, ##loaded, ##just, ##ny"
" In terms of the budget , we were fully repaid but in terms of the net worth of Californians we were ripped off and the federal government agency in  	 charge 	  of this , their staff came out with a report about six months ago and said , you know , Governor Davis was right . 
",4,"spite, light, recognition, view, pursuit, consequence, front, protest, all, control, consideration, place, respect, support, face, terms, handling, anticipation, violation"
" ( END VIDEO CLIP ) KING : Ed Meese , was Haig bum-rapped for being criticized for that , or was he right ? Was he in  	 charge 	  basically of the situation , not the government ? MEESE : Well , I do n't think anybody would say that he was in charge under the Constitution . 
",4,"control, front, denial, command, part, fact, contempt, fear, view, awe, ignorance, violation, terms, favor, judgment, breach, reality, shock, it"
" And the tragedy of this is , given the fact that the world is a much calmer place , we do nt have the cold war , theres no reason to rush into this type of production .  WALLACE : Some  	 charge 	  that the rush into production has caused two crashes this year alone .  DONNA-HARTER : Nineteen Marines lives were lost April the 8th . 
",3,"say, believe, think, argue, claim, report, said, suspect, worry, feel, suggest, know, estimate, reports, add, talk, consider, thought, agree, fear"
" How much is it going to cost ? Mr. COOKE : Well , for the institutions that the RTC will have to take  	 charge 	  of , we estimate somewhere between $90 billion to $130 billion , in terms of present-value dollars . Mr. 
",4,"care, advantage, control, ownership, hold, possession, stock, account, delivery, notice, note, custody, part, consideration, command, management, all, responsibility, some"
" He seems to think that because of his Vietnam service , which of course he deserves credit for , he is inoculated from any  	 charge 	  that he is weak on national security . And I do n't think that that 's the case . And he also uses that service -- his past service as a sword that you ca n't criticize him . 
",3,"view, notion, evidence, idea, claim, feeling, suggestion, suspicion, perception, opinion, belief, argument, thought, possibility, sense, indication, theory, doubt, hint, explanation"
" See what you think . We were talking about the first time Bill remembered a tough guy character taking  	 charge 	  . Mr-GREEN : One time I was confronted in a situation that I knew was life-threatening and I dealt with it . 
",0,"over, part, action, off, control, pictures, revenge, risks, cover, drugs, turns, on, shots, it, offence, jobs, place, hostages, office"
" Commercial break EDNA BUCHANAN , Journalist : video clip They 're taking down convoys of food and water . Nobody 's helping them distribute it . Nobody 's in  	 charge 	  . There is no common sense at the top . And these people are taking their lives in their hands going into neighborhoods where a crazed mob of thirsty , frantic people wanted to take away the National Guard guns to get at a water truck that was trying to deliver  
",0,"control, power, it, jail, trouble, business, touch, agreement, prison, government, denial, danger, them, line, favor, town, sight, ##vent, fear"
" Rumors were rampant that the Reagan administration was doing what it said it would never do , trading arms for hostages . On November 13th , the President denies it again . Pres. RONALD REAGAN : The  	 charge 	  has been made that the United States has shipped weapons to Iran as ransom payment for the release of American hostages in Lebanon , that the United States undercut its allies and secretly violated American policy against trafficking with terrorists . 
",3,"accusation, claim, allegations, announcement, accusations, assertion, argument, statement, assumption, news, discovery, revelation, claims, case, suggestion, report, rumor, admission, suspicion, story"
"ABRAMSON : The boys are getting ready to shoot muzzle loaders , simple guns that are loaded much the way guns were for hundreds of years , by shoving a pellet and some powder right down the gun barrel . Mr-MYERS : They have to pour a  	 charge 	  of powder into it ; they 've got to put a wad in it ; got to put the ball in it -- round piece of lead -- tamp everything down the same way each time . 
",2,"ball, lot, shot, bit, ton, piece, drop, barrel, bunch, bag, quantity, stick, bullet, handful, tube, pinch, bucket, load, powder, mass"
" But there 's any number of states where this is the law . MARA-LIASSON: Yes , but this is a policy for the Department of Homeland Security , who is in  	 charge 	  of deporting people . So in immigration law , as we 're learning , you know , the Feds have the upper hand . 
",4,"favor, favour, control, danger, need, support, command, policy, honor, trouble, process, charged, want, pursuit, oversight, business, matters, power, fear"
"KRAUTHAMMER : You know , the accusation of racism is a sign of desperation by people who know they are losing the national debate , and they want to hurl the ultimate  	 charge 	  in American politics . This is dealing from the bottom of the deck , and I agree that it is a disgusting tactic . 
",2,"blow, weapon, bomb, punch, insult, prize, victory, coup, lie, power, profit, wedge, message, deal, trump, challenge, vote, trophy, truth, thing"
" One is that it 's not the government that decides that if something is copyrighted or not sic , it 's the owner or the producer of the computer software who decides , one , is it freeware , shareware , or commercial computer software , which they  	 charge 	  for . In other words , if I develop software , I can choose to give it to everybody free , and it 's called freeware it 's available to whoever wants it . 
",1,"work, pay, care, ask, are, go, write, opt, provide, trade, shop, paid, look, code, aim, vote, play, choose, settle, apply"
" But the point is that there were different opinions within the top Chinese leadership and that was the crucial point WALTERS What you are saying is very frank . You are saying there was not one voice in  	 charge 	  . Zhao Ziyang sympathized with the students and he was put out . Li Peng had a stronger view . Had you been there , do you think you could have reasoned with the students who had legitimate aims and this tragedy would not have happened ? 
",0,"china, beijing, government, power, it, them, congress, parliament, chinese, all, society, peking, heaven, school, everyone, there, everything, command, washington"
" The CIA is due to finish its own report on the abuse allegations in two to three weeks , according to Republican Senator Pat Roberts who chairs the Central Intelligence Committee . And now , one of the 7 accused , Specialist Jeremy Sivits , faces a bad conduct dis 	 charge 	  and is said to be court-martialed May 19 . BRIG . GEN . MARK KIMMITT , U.S. MILITARY SPOKESMAN : The three charges against Specialist Sivits are : conspiracy to maltreat subordinates and detainees , dereliction of duty for negligently failing to protect detainees from abuse , cruelty and maltreatment , and maltreatment of detainees . 
",2,",, investigation, arrest, hearing, warrant, diagnosis, trial, ., indictment, test, ##quest, ##j, commission, -, ##qui, complaint, examination, ##q, fine"
" I know that there is a record of Indians feeling betrayed by various Pakistani leaders , but at this point in time , the uppermost concern of , I think , the entire world , and should be the uppermost concern for Indians is well , is the stabilization of Pakistan , because at this point in time , Pakistan is in a very dangerous state . And at this point in time , again , General Musharraf is the person in  	 charge 	  and he seems to have the army behind him , though there might be sections of the army as well as intelligence services which are not entirely onboard as far as his moves on making peace with India are concerned . 
",0,"power, question, danger, control, trouble, crisis, right, command, authority, doubt, it, action, chief, talks, mind, position, contact, problem, black"
" negotiator "" an economic traitor . "" Rep. KAPTUR : The very gentleman - I even hate to call him that - the person in  	 charge 	  of our trade negotiations , while he was still completing the agreement , before the ink was even dry , was seeking a job with the foreign interests that we were supposedly negotiating with . 
",4,"control, command, one, favor, all, front, particular, breach, most, possession, view, attendance, chief, place, some, favour, many, any, question"
"OVERBY : Reform advocates have a list of 55 House Democrats who might get cold feet even though they signed the dis 	 charge 	  petition . The reformers will also have to fend off amendments designed to gut the bill . Then if they get that far , it 's back to the Senate and another round of battles . 
",2,"-, ., ..., ##v, ##2, ##1, election, ##n, on, !, ##nium, campaign, dodd, ##4, /, :, 2, ##3, ', ##5"
" There are a lot of people who are trying to help , but until relatively recently there was n't any one person in  	 charge 	  of trying to get everything together and get the , you know , information as accurate as possible . I think the people in the White House did the best job they could . 
",4,"need, favor, danger, terms, way, want, hopes, front, hope, ways, mind, control, capable, favour, place, spite, support, sight, pursuit"
" In turn , on March 9th , Arafat rejected Israel 's offer to withdraw from an additional 9 percent of the West Bank , saying it was too small . Palestinian authorities refuse to take  	 charge 	  of the territory . Heightened tensions prompted Jordan 's King Hussein to rebuke Netanyahu in an angry and anguished personal letter which was leaked to the press on March 11th . 
",4,"control, possession, ownership, advantage, hold, care, part, command, much, any, half, more, custody, account, all, notice, some, responsibility, sides"
" LYNN SHERR : ( voice-over ) Those who pay the $65 group fee only pay it once , and they can come back for no additional  	 charge 	  as often as they like . But only for certain things . Shubentsov says he will not treat cancer , AIDS , diabetes or skin disease . 
",1,"fee, money, fees, payment, cost, treatment, pay, costs, payments, reason, amount, work, time, expenses, amounts, cash, reasons, help, services, things"
"DEBORAH ROBERTS  And that was your introduction to racial strife . ELIZABETH HAYS And an adult could have given that  	 charge 	  to a child . It was disgusting . Hey , Mac , will you go around ... DEBORAH ROBERTS That painful episode was 30 years ago .
",2,"up, information, name, lesson, story, experience, impression, thing, away, speech, scene, opportunity, book, shit, right, lecture, look, treatment, image, word"
" But the family did nt buy his story and went straight to the Jefferson County police . Detective Jim Wesley is in  	 charge 	  of the violent crimes unit .  JIM-WESLEY : From day one , when I was assigned this case , I truly , truly wanted to help these people . 
",4,"command, control, chief, possession, head, custody, care, one, charges, part, need, service, favor, all, place, front, responsibility, oversight, duties"
"BURNS : Do you want to spend any more time on this show or shall I move on ? PINKERTON : You 're in  	 charge 	  , Eric . BURNS : Thank you . Wow ! Thanks for the promotion . "" Quick Take "" headline No. 2 , "" Rumsfeld Wins Award , Would Rather Not . 
",0,"luck, heaven, love, trouble, control, it, there, class, great, progress, good, danger, right, hell, style, now, handy, touch, shock"
" KING EDWARD VIII : I have found it impossible to carry the heavy burden of responsibility and to dis 	 charge 	  my duties as king as I would wish to do without the help and support of the woman I love FURLAUD I saw the abdication desk in the Paris house years ago when Mr. 
",2,"##vent, ##jo, ##nee, ##nare, ##long, ##not, ##just, ##force, ##wine, ##joy, ##nate, ##wil, ##qui, ##firm, from, ##fer, ', ##v, ##na, ##forth"
"BAIER : Well , today , White House Press Secretary Robert Gibbs was asked for at least the seventh time in the past three weeks about the Sestak  	 charge 	  . UNIDENTIFIED-MALE : Do you have an answer yet on Mr. Sestak ? ROBERT-GIBBS-WHIT : I do n't have any more information on that . 
",2,"case, affair, incident, murder, investigation, scandal, report, situation, attack, assassination, story, murders, matter, death, issue, connection, allegations, family, killing, account"
"SESNO voice-over On the ballot in all 50 states , what will Perot do now ? Is he a serious threat or is this , as critics  	 charge 	  , just another round of ego-driven empire-building ? Regardless , how will this man affect the prospects of the underdog incumbent , George Bush , and the Democratic Challenger , Bill Clinton ? 
",3,"say, claim, state, argue, suggest, believe, contend, said, expect, think, report, know, assert, talk, note, ##ege, suggested, suspect, insist, write"
" I do n't know how you would explain to the average Iraqi that , having sent our army halfway around the world , throwing out Saddam Hussein , we were going to call back the army that was the instrument of his repression , call back the Baath party , so you went to the ministry , you saw the same old top Baathists in  	 charge 	  of the ministries . It simply does n't make sense . HUME : If you have one regret about the way it was run at the time , major regret , what would it be ? 
",2,"all, one, some, each, most, many, any, both, front, several, every, two, either, three, those, none, top, four, various, another"
" No word on that quite yet . If this follows -- once again , I 'm told we now have a verdict on the second  	 charge 	  . It is life in prison without parole with a penalty of $100,000 . Once again , on the two capital murder charges , he is not getting the death sentence , he 's getting life in prison without parole . 
",2,"murder, one, offense, count, case, sentence, death, counts, option, crime, verdict, time, killing, homicide, trial, thing, attempt, possibility, plea"
" A judge ordered her to complete 24 hours of community service . And she must be tested monthly for drugs and alcohol as part of her probation . The  	 charge 	  stems from an incident in October when Evans and her boyfriend were arrested for breaking and entering and marijuana possession . 
",2,"case, controversy, lawsuit, complaint, suspension, probation, incident, violation, investigation, arrest, issue, offense, program, scandal, allegations, ruling, law, problem, story"
" Robert Hughes is the art critic for Time magazine , a post he 's held for the past 20 years . Michael Findlay is the senior vice president in  	 charge 	  of the Impressionist and modern painting division of Christie 's , one of the largest art auction houses in the world . 
",2,"chief, sales, marketing, management, residence, finance, development, business, operations, communications, general, strategy, asia, advance, services, relations, service, europe, affairs"
" Gemase Simmons was sentenced to five years probation for that car theft charge we told you about , but he has also been in jail awaiting trial on a new felony  	 charge 	  in connection to cameraman Izzy Cardoza . Contestant Joselyn Pennywell did make it onto a real reality show . 
",2,"case, that, incident, conviction, thing, offense, crime, attempt, act, felony, which, episode, scandal, investigation, stunt, assault, charges, scheme, murder"
" Some leases say that you ca n't move and take the car with you unless you get written permission from the leasing company . ZAHN : And will they give you that written permission ? Or , they 'll probably  	 charge 	  you more ... STEHR : They 'll usually do it -- right . They 'll usually do it , but they 'll hit with you a fee to make that transfer . 
",1,"pay, give, rent, tell, loan, lend, hire, offer, buy, get, grant, sell, ask, need, take, lease, cost, want, owe"
" I have friends who work in stores who will actually hold onto your credit-card receipts and they 'll give me the number , and then I 'll  	 charge 	  a lot on UPS or I will go take the numbers and use phone orders , for instance . Always destroy those receipts or keep them with you , you know ? 
",1,"spend, do, get, save, call, have, work, check, put, buy, pay, read, take, be, use, see, go, turn, bet, run"
" Churchill opposed the appeasement all along . He did n't turn on a dime . Mr. BORCHGRAVE : But George Bush was not in  	 charge 	  of foreign policy during the Reagan years BUCHANAN Mike , and Churchill climbed right into bed with Joseph Stalin , who was even a more serious character than Hafez Al-Assad . 
",4,"favor, control, favour, command, terms, support, forefront, grasp, mind, advance, matters, chief, sight, much, view, front, pursuit, danger, need"
" And then click on base prices . That gives you the base invoice price , what the dealer paid for the car and the destination  	 charge 	  for the delivery of the vehicle . D-DOLAN : But one thing , in fairness to the dealer ... MOLINARI : Mm-hmm . 
",2,"price, location, prices, address, number, date, code, country, buyer, market, seller, time, cost, pricing, name, ,, order, value, place, destination"
"CARAFANO : No , I think the key to victory is if you can create a legitimate Iraqi government that the three major factors recognize as legitimate , put them in  	 charge 	  of domestic security forces , that 's the key to success . There is no U.S. military solution to this problem . 
",4,"control, front, command, hands, place, support, power, custody, terms, one, possession, care, need, service, position, chief, protection, leadership, lieu"
" We 're also going to talk to David Gergen about the president 's speech . As always , you can join the live chat now at AC360.com . Coming up next : the man in  	 charge 	  of BP America called to Congress today and told to commit hari-kari by one of the members , a startling moment . 
",4,"control, command, chief, white, front, residence, black, office, service, possession, chair, head, blue, management, right, custody, power, authority, favor"
"WALLACE : Yes . And his duties were ? Mr-MARTINEZ : I could n't believe this . One of them was to be in  	 charge 	  of altar boys , to supervise them . WALLACE : Did you say in charge of altar boys ? Mr-MARTINEZ : Yes . 
",4,"command, care, front, control, place, need, supervision, search, possession, custody, awe, service, respect, chief, order, one, case, class, company"
" We 're going to hear from her a little later on . And I 'll speak with the U.S. military 's man in  	 charge 	  of the entire evacuation effort . Admiral Patrick Walsh joining us straight ahead . 
",4,"command, support, front, chief, control, coordination, respect, place, advance, handling, favor, defense, oversight, detail, terms, lieu, aid, lead, need"
" I do n't remember talking about it . But I certainly never sat back and said , "" One day , I 'm going to be in  	 charge 	  of huge armies , you know , of my country . "" DONALDSON : voice-over Schwarzkopf says his military heroes are Grant and Sherman of the Civil War and Creighton Abrams from Vietnam . 
",4,"front, command, control, one, chief, need, support, favor, head, service, general, awe, possession, hands, army, terms, battle, part, middle"
" I mean , you know , I think the market has to work , though , and you 've got to let the credit markets work , and they have to assess risk and  	 charge 	  according to the risk . But let me tell you that I do n't see any real strong hindrance for the entrepreneurial spirit in America and small businesses growing in America . 
",2,"profit, invest, act, pay, grow, behave, move, perform, function, operate, return, work, score, risk, go, progress, proceed, adjust, respond, live"
